Product ID,Product Name,Category,Warehouse,Location,Quantity,Price,Supplier,Status,Last Restocked
1102, gadget y ,ELECTRONICS,Warehouse 2,Aisle 1,300,9.99,Johnson Ltd,In Stock,
1435, gadget y ,ELECTRONICS,Warehouse 2,Aisle 4,two hundred,19.99,"Fields, Stone and Miller",Out of Stock,
1860, widget a ,CLOTHING,Warehouse 2,Aisle 3,100,19.99,Fowler-Bowers,In Stock,20/12/2022
1270, gadget z ,TOYS,Warehouse 2,Aisle 4,50,49.99,"Myers, Jones and Velez",In Stock,20/12/2022
1106, widget a ,FURNITURE,Warehouse 3,Aisle 3,two hundred,9.99,"Deleon, Greene and French",Out of Stock,25/04/2023
1071, widget b ,CLOTHING,Warehouse 3,Aisle 5,300,,Holmes-Adkins,In Stock,20/12/2022
1700, widget a ,CLOTHING,Warehouse 2,Aisle 2,two hundred,49.99,Gallegos Group,In Stock,20/12/2022
1020, widget c ,CLOTHING,Warehouse 1,Aisle 5,two hundred,9.99,Robinson Inc,Out of Stock,20/12/2022
1614, gadget y ,ELECTRONICS,Warehouse 3,Aisle 3,300,9.99,Hartman-Garner,Out of Stock,05/03/2023
1121, widget b ,TOYS,Warehouse 1,Aisle 2,50,19.99,Smith-Myers,Out of Stock,20/12/2022
1466, widget a ,CLOTHING,Warehouse 3,Aisle 1,,49.99,Brandt and Sons,In Stock,15/01/2023
1214, gadget z ,FURNITURE,Warehouse 2,Aisle 1,50,9.99,"Smith, Smith and Merritt",Low Stock,15/01/2023
1330, widget c ,TOYS,Warehouse 3,Aisle 4,150,9.99,Gray PLC,In Stock,25/04/2023
1458, widget c ,FURNITURE,Warehouse 2,Aisle 3,300,49.99,Tucker-Palmer,Low Stock,05/03/2023
1087, widget a ,TOYS,Warehouse 3,Aisle 3,50,,James Ltd,Out of Stock,15/01/2023
1372, gadget y ,FURNITURE,Warehouse 2,Aisle 1,two hundred,49.99,"Mills, Fitzgerald and Williams",Low Stock,05/03/2023
1099, widget a ,ELECTRONICS,Warehouse 2,Aisle 5,300,49.99,Sanders-Bradley,Out of Stock,05/03/2023
1871, widget b ,CLOTHING,Warehouse 2,Aisle 2,100,,"Johnson, Mathis and Levine",Out of Stock,25/04/2023
1663, widget a ,FURNITURE,Warehouse 2,Aisle 5,50,49.99,Thomas-Elliott,Low Stock,05/03/2023
1130, widget c ,TOYS,Warehouse 1,Aisle 5,300,9.99,"Jones, Allen and Singh",Out of Stock,20/12/2022
1661, widget a ,CLOTHING,Warehouse 2,Aisle 1,50,49.99,"Hunt, Acevedo and Cardenas",Low Stock,05/03/2023
1308, gadget y ,CLOTHING,Warehouse 1,Aisle 1,300,,Johnson-Johnson,Out of Stock,25/04/2023
1769, gadget z ,TOYS,Warehouse 1,Aisle 1,two hundred,29.99,Torres Group,In Stock,25/04/2023
1343, gadget x ,FURNITURE,Warehouse 2,Aisle 4,100,49.99,Dennis-Lee,In Stock,25/04/2023
1491, widget a ,ELECTRONICS,Warehouse 1,Aisle 5,100,19.99,"Meza, Walker and Davis",Out of Stock,15/01/2023
1413, gadget y ,ELECTRONICS,Warehouse 3,Aisle 3,150,9.99,Ross LLC,Out of Stock,20/12/2022
1805, gadget y ,FURNITURE,Warehouse 2,Aisle 2,300,9.99,Garrett and Sons,Low Stock,15/01/2023
1385, gadget z ,CLOTHING,Warehouse 1,Aisle 4,50,19.99,Villegas-Ramos,In Stock,
1191, widget c ,CLOTHING,Warehouse 2,Aisle 3,100,19.99,"Kramer, Elliott and Serrano",Low Stock,20/12/2022
1955, gadget y ,CLOTHING,Warehouse 2,Aisle 5,100,49.99,Klein-Taylor,Out of Stock,05/03/2023
1276, gadget y ,CLOTHING,Warehouse 2,Aisle 1,,19.99,"Smith, Sullivan and Mclaughlin",Out of Stock,25/04/2023
1160, gadget y ,FURNITURE,Warehouse 1,Aisle 5,,29.99,"Robinson, Stewart and Hogan",Low Stock,
1459, gadget y ,CLOTHING,Warehouse 3,Aisle 2,100,,"Willis, Smith and Gonzalez",Out of Stock,20/12/2022
1313, widget b ,TOYS,Warehouse 3,Aisle 4,300,19.99,Wilson-Beck,In Stock,15/01/2023
1021, widget b ,CLOTHING,Warehouse 1,Aisle 4,150,19.99,"Jones, Harris and Silva",Low Stock,25/04/2023
1252, widget c ,ELECTRONICS,Warehouse 2,Aisle 2,100,29.99,"Garcia, May and Young",In Stock,15/01/2023
1747, widget a ,CLOTHING,Warehouse 1,Aisle 3,two hundred,9.99,Davis LLC,In Stock,20/12/2022
1856, gadget y ,FURNITURE,Warehouse 1,Aisle 3,50,9.99,Johnson Ltd,In Stock,20/12/2022
1560, gadget z ,ELECTRONICS,Warehouse 1,Aisle 4,150,49.99,"Burns, Conley and Huynh",Low Stock,
1474, widget a ,FURNITURE,Warehouse 2,Aisle 4,two hundred,29.99,Campbell-Carrillo,Out of Stock,05/03/2023
1058, gadget z ,FURNITURE,Warehouse 1,Aisle 1,150,,"Brown, Evans and Reyes",In Stock,15/01/2023
1510, widget a ,ELECTRONICS,Warehouse 2,Aisle 3,two hundred,,"Harmon, Bryant and Jones",In Stock,
1681, widget c ,FURNITURE,Warehouse 1,Aisle 2,50,29.99,Cole-Nelson,In Stock,25/04/2023
1475, gadget y ,FURNITURE,Warehouse 3,Aisle 3,50,,Williams-Nelson,Out of Stock,05/03/2023
1699, gadget y ,CLOTHING,Warehouse 1,Aisle 1,,9.99,Herrera and Sons,Out of Stock,
1975, gadget x ,TOYS,Warehouse 1,Aisle 4,300,,"Moore, Nelson and Lee",Low Stock,15/01/2023
1782, gadget z ,FURNITURE,Warehouse 3,Aisle 4,two hundred,,"Ferguson, Cooper and Cisneros",Out of Stock,20/12/2022
1189, widget a ,FURNITURE,Warehouse 2,Aisle 1,,29.99,"Cole, Snyder and Larsen",Low Stock,25/04/2023
1957, widget a ,FURNITURE,Warehouse 2,Aisle 2,two hundred,29.99,Shelton-Allen,Low Stock,15/01/2023
1686, widget b ,CLOTHING,Warehouse 1,Aisle 4,,,"Snyder, Bennett and Reyes",Low Stock,05/03/2023
1957, gadget x ,TOYS,Warehouse 3,Aisle 5,50,19.99,"Griffin, Bryant and Davis",Low Stock,05/03/2023
1562, widget b ,ELECTRONICS,Warehouse 2,Aisle 4,150,29.99,Thompson-Thompson,Low Stock,20/12/2022
1875, widget b ,CLOTHING,Warehouse 1,Aisle 5,,49.99,Howard and Sons,In Stock,20/12/2022
